UI_20150317_000001	{@st41b}可以跟各職業大師{nl}學習特性。{/}	{@st41b}각 클래스 마스터들에게서{nl}특성을 배울 수 있습니다.{/}				
UI_20150317_000002	{@st43}特性目錄{/}	{@st43}특성 목록{/}				
UI_20150317_000003	{@st59}關閉特性清單。{/}	{@st59}특성리스트를 닫습니다{/}				
UI_20150317_000004	{@st43}學習特性{/}	{@st43}특성 배우기{/}				
UI_20150317_000005	{@st59}關閉特性視窗。{/}	{@st59}특성창을 닫습니다{/}				
UI_20150317_000006	{@st41b}所持金額{/}	{@st41b}소지금{/}				
UI_20150317_000007	我的成就	나의 업적				
UI_20150317_000008	伺服器排名	서버 랭킹				
UI_20150317_000009	{@st59}有突發活動。{/}	{@st59}돌발이벤트가 있습니다{/}				
UI_20150317_000010	{@st59}有小幫手喔！{/}	{@st59}도움말이 있습니다{/}				
UI_20150317_000011	{@st41}您要製作什麼種類的箭矢？{/}	{@st41}어떤 종류의 화살을 제작하겠습니까?{/}				
UI_20150317_000012	{@st41b}僅一次{/}	{@st41b}한번만{/}				
UI_20150317_000013	{@st41b}全部{/}	{@st41b}모두{/}				
UI_20150317_000014	{@st41b}中斷{/}	{@st41b}중단{/}				
UI_20150317_000015	{@st43}冒險日誌{/}	{@st43}모험일지{/}				
UI_20150317_000016	{@st43}拍賣場{/}	{@st43}경매장{/}				
UI_20150317_000017	{@st59}關閉拍賣場。{/}	{@st59}경매장을 닫습니다{/}				
UI_20150317_000018	{memo X}{@st41b}得標物品：%s個,  流標物品：%s個{/}	{@st41b}낙찰물품 : %s개,  유찰물품 : %s개{/}				
UI_20150317_000019	{@st43}{s22}拍賣道具{/}	{@st43}{s22}아이템 경매{/}				
UI_20150317_000020	{@st59}關閉任務情報。{/}	{@st59}퀘스트 정보를 닫습니다{/}				
UI_20150317_000021	아베일레스트	아베일레스트				
UI_20150317_000022	{@st41b}剩餘時間	{@st41b}남은 시간				
UI_20150317_000023	3小時 16分	3시간 16분				
UI_20150317_000024	{@st41b}起標價格	{@st41b}시작가				
UI_20150317_000025	{@st41b}投標數量	{@st41b}입찰수				
UI_20150317_000026	{@st41b}目前價格	{@st41b}현재가				
UI_20150317_000027	{@st41b}投標金額	{@st41b}입찰금				
UI_20150317_000028	{@st41b}最低可投標金額為{@st57}%s {@st41b}銀幣{/}	{@st41b}최소 {@st57}%s {@st41b}실버부터 입찰가능{/}				
UI_20150317_000029	{@st41b}投標{/}	{@st41b}입찰{/}				
UI_20150317_000030	{@st43b}立即購買！{nl}{img icon_item_silver 20 20}{@st57}%s{/}	{@st43b}바로 구매!{nl}{img icon_item_silver 20 20}{@st57}%s{/}				
UI_20150317_000031	{@st44}設定權限{/}	{@st44}권한설정{/}				
UI_20150317_000032	{@st45}名稱：%s{/}	{@st45}이름:%s{/}				
UI_20150317_000033	{@st45}組隊倉庫{/}	{@st45}파티 창고{/}				
UI_20150317_000034	{@st49}無	{@st49}없음				
UI_20150317_000035	{@st49}放入	{@st49}넣기				
UI_20150317_000036	{@st49}取出	{@st49}가져오기				
UI_20150317_000037	{@st45}問卷{/}	{@st45}설문{/}				
UI_20150317_000038	{@st49}撰寫	{@st49}작성				
UI_20150317_000039	{@st49}刪除	{@st49}삭제				
UI_20150317_000040	{@st44}儲存{/}	{@st44}저장{/}				
UI_20150317_000041	{@st44}取消{/}	{@st44}취소{/}				
UI_20150317_000042	{@st43}{s22}造型屋{/}	{@st43}{s22}미용실{/}				
UI_20150317_000043	{@st59}上一個髮型{/}	{@st59}이전 머리{/}				
UI_20150317_000044	{@st59}下一個髮型{/}	{@st59}다음 머리{/}				
UI_20150317_000045	{@st41b}變更{s18}(需要NXP 100){/}	{@st41b}변경{s18}(NXP 100 필요){/}				
UI_20150317_000046	{@st59}變更為您選擇的髮型。{/}	{@st59}선택한 헤어로 변경합니다.{/}				
UI_20150317_000047	{@st41}解約	{@st41}해약				
UI_20150317_000048	{@st43}黑市{/}	{@st43}블랙 마켓{/}				
UI_20150317_000049	書名	책이름				
UI_20150317_000050	{@st59}停止閱讀。{/}	{@st59}독서를 그만둡니다{/}				
UI_20150317_000051	{@st59}上一頁{/}	{@st59}이전 페이지{/}				
UI_20150317_000052	{@st59}下一頁{/}	{@st59}다음페이지{/}				
UI_20150317_000053	{@st47}%s 登場！！	{@st47}%s 등장!!				
UI_20150317_000054	{@st43}分數{/}	{@st43}스코어{/}				
UI_20150317_000055	所受傷害	받은 데미지				
UI_20150317_000056	技術紅利	테크닉 보너스				
UI_20150317_000057	迴避紅利	회피 보너스				
UI_20150317_000058	清除時間	클리어 시간				
UI_20150317_000059	總分	총 점수				
UI_20150317_000060	{@st42}經過時間	{@st42}경과 시간				
UI_20150317_000061	10分	10분				
UI_20150317_000062	10秒	10초				
UI_20150317_000063	{memo X}{@st44}結束	{@st44}마감하기				
UI_20150317_000064	{@st59}關閉自動販賣機。{/}	{@st59}자판기를 닫습니다{/}				
UI_20150317_000065	{@st43}BUFF自動販賣機	{@st43}버프 자판기				
UI_20150317_000066	自動販賣機名稱	자판기 이름				
UI_20150317_000067	{memo X}{@st43}登錄	{@st43}등록				
UI_20150317_000068	{memo X}{@st43}取消	{@st43}취소				
UI_20150317_000069	BUFF自動販賣機	버프 자판기				
UI_20150317_000070	{@st59}關閉BUFF自動販賣機。	{@st59}버프 자판기를 닫습니다.				
UI_20150317_000071	{@st59}BUFF自動販賣機{nl} - 支付銀幣該玩家即可獲得BUFF技術。	{@st59}버프 자판기{nl} - 실버를 지불해 해당 플레이어에게 버프 기술을 시전받을 수 있습니다.				
UI_20150317_000072	馬車選單	마차메뉴				
UI_20150317_000073	{ol}{s22}下來{/}	{ol}{s22}내리기{/}				
UI_20150317_000074	挑選	캐스팅				
UI_20150317_000075	{@st43}遊戲設定{/}	{@st43}게임설정{/}				
UI_20150317_000076	{@st64}請輸入方向鍵並選擇儲存格！	{@st64}방향키를 입력해 셀을 선택하세요!				
UI_20150317_000077	{@st43}轉職情報{/}	{@st43}전직 정보{/}				
UI_20150317_000078	{@st43}選擇職業	{@st43}클래스 선택				
UI_20150317_000079	意志力	사이코키네스스트				
UI_20150317_000080	{@st42}%s 階{/}	{@st42}%s 서클{/}				
UI_20150317_000081	幾階	몇 서클				
UI_20150317_000082	此處會顯示職業簡單的說明。	클래스에 대한 간단한 설명을 이곳에 표시합니다.				
UI_20150317_000083	{@st41b}攻擊力 {@sti7}%s{/}	{@st41b}공격력 {@sti7}%s{/}				
UI_20150317_000084	{@st41b}輔助    {@sti7}%s{/}	{@st41b}보조    {@sti7}%s{/}				
UI_20150317_000085	{@st41b}難易度 {@sti7}%s{/}	{@st41b}난이도 {@sti7}%s{/}				
UI_20150317_000086	{@st59}關閉職業資訊視窗。{/}	{@st59}클래스 정보 창을 닫습니다{/}				
UI_20150317_000087	可轉職通知	전직 가능 알람				
UI_20150317_000088	{@st43}轉職	{@st43}클래스 전직				
UI_20150317_000089	{@sti7}{s14}角色{/}	{@sti7}{s14}캐릭터{/}				
UI_20150317_000090	{@sti8}{s14}職業{/}	{@sti8}{s14}클래스{/}				
UI_20150317_000091	{@st44}聊天{/}	{@st44}채팅{/}				
UI_20150317_000092	To. WWWWWWWW 之外 1	To. WWWWWWWW 외 1				
UI_20150317_000093	一般：/s 內容{nl}大喊：/y 內容{nl}組隊：/p 內容{nl}密語：/w 角色名稱 內容	일반 : /s 내용{nl}외침 : /y 내용{nl}파티 : /p 내용{nl}귓속말 : /w 캐릭명 내용				
UI_20150317_000094	{@st41}一般對話{/}	{@st41}일반 대화{/}				
UI_20150317_000095	{@59}結束{/}	{@59}종료하기{/}				
UI_20150317_000096	{@59}邀請{/}	{@59}초대하기{/}				
UI_20150317_000097	{@st59}全體{/}	{@st59}전체{/}				
UI_20150317_000098	{@st59}一般  (/s 內容){/}	{@st59}일반  (/s 할말){/}				
UI_20150317_000099	{@st59}大喊  (/y 內容){/}	{@st59}외침  (/y 할말){/}				
UI_20150317_000100	{@st59}組隊  (/p 內容){/}	{@st59}파티  (/p 할말){/}				
UI_20150317_000101	{@st59}密語   (/w 隊伍名稱 內容){/}	{@st59}귓속말   (/w 팀이름 할말){/}				
UI_20150317_000102	{@st59}調節聊天視窗尺寸{/}	{@st59}채팅창 크기 조절{/}				
UI_20150317_000103	{@st43}{s22}聊天指令{/}	{@st43}{s22}채팅 매크로{/}				
UI_20150317_000104	{@st43}指令{/}	{@st43}매크로{/}				
UI_20150317_000105	{@st59b}指令{nl}{@st59s} - 使用方法：{nl} 1. 將上方的動作圖示登錄在下方的動作欄位上。{nl} 2. 輸入句子後儲存。{nl} 3. 使用該快捷鍵，對話和動作同時出現。{/}	{@st59b}매크로{nl}{@st59s} - 사용 방법 : {nl} 1. 상단의 제스쳐 아이콘을 하단의 제스쳐 슬롯에 등록{nl} 2. 대화문구 작성 후 저장{nl} 3. 해당 단축키를 사용해서 대사와 동시에 제스쳐 동작{/}				
UI_20150317_000106	{@st59}關閉指令。{/}	{@st59}매크로를 닫습니다{/}				
UI_20150317_000107	{@st41b}儲存{/}	{@st41b}저장{/}				
UI_20150317_000108	{@st59}儲存登錄的內容。{/}	{@st59}등록한 내용을 저장합니다{/}				
UI_20150317_000109	{@st41b}取消{/}	{@st41b}취소{/}				
UI_20150317_000110	{@st59}取消登錄的內容。{/}	{@st59}등록한 내용을 취소합니다{/}				
UI_20150317_000111	{@st42}聊天設定	{@st42}채팅 설정				
UI_20150317_000112	{@st42}透明度	{@st42}투명도				
UI_20150317_000113	顯示對話框	말풍선 표시				
UI_20150317_000114	畫面上方顯示大喊內容	화면 상단에 외치기 내용 표시				
UI_20150317_000115	{@st43}指令清單{/}	{@st43}치트리스트{/}				
UI_20150317_000116	{@st42b}  道具  {/}	{@st42b}  아이템  {/}				
UI_20150317_000117	{@st42b}  怪物  {/}	{@st42b}  몬스터  {/}				
UI_20150317_000118	{@st42b}  地圖移動  {/}	{@st42b}  맵이동  {/}				
UI_20150317_000119	{@st42b}  戰鬥命令  {/}	{@st42b}  전투명령  {/}				
UI_20150317_000120	{@st41b}關閉{/}	{@st41b}닫기{/}				
UI_20150317_000121	{s16}{b}透過雙點擊或是生成按鍵，可以生出道具。	{s16}{b}더블클릭 또는 생성 버튼으로 아이템을 생성할 수 있습니다.				
UI_20150317_000122	{s16}{b}個	{s16}{b}개				
UI_20150317_000123	{s16}{b}等級	{s16}{b}레벨				
UI_20150317_000124	{@st41b}檢索{/}	{@st41b}검색{/}				
UI_20150317_000125	{s16}{b}透過雙點擊或是生成按鍵，可以召喚怪物。	{s16}{b}더블클릭 또는 생성버튼으로 몬스터를 소환할 수 있습니다.				
UI_20150317_000126	{s16}{b}隻	{s16}{b}마리				
UI_20150317_000127	{s16}{b}請選擇想要的地區。	{s16}{b}원하는 지역을 선택하세요				
UI_20150317_000128	{s18}{b}查看迷你地圖{/}	{s18}{b}미니맵 보기{/}				
UI_20150317_000129	{@st41b}工具清單{/}	{@st41b}툴 리스트{/}				
UI_20150317_000130	{@st59b}圖鑑{nl}{@st59s} - 取得遊戲內的圖鑑卡片組就可以收集該道具。{nl} - 使用圖鑑卡片組道具時，圖鑑快捷鍵會活性化。{nl}{/}	{@st59b}콜렉션{nl}{@st59s} - 게임내 콜렉션 덱을 구해 아이템을 수집하면 해당 아이템 수집 가능{nl} - 콜렉션 덱 아이템 사용했을 경우 콜렉션 단축키가 활성화{nl}{/}				
UI_20150317_000131	{@st59}關閉圖鑑情報。{/}	{@st59}콜렉션 정보를 닫습니다{/}				
UI_20150317_000132	{@st43}圖鑑{/}	{@st43}콜렉션{/}				
UI_20150317_000133	{@st43}顏色噴槍{/}	{@st43}컬러스프레이{/}				
UI_20150317_000134	{@st49}顏色噴槍{/}	{@st49}컬러스프레이{/}				
UI_20150317_000135	{@st49}顏色{/}	{@st49}색상{/}				
UI_20150317_000136	{@st49}殘量{/}	{@st49}잔량{/}				
UI_20150317_000137	{@st49}刷筆{/}	{@st49}브러쉬{/}				
UI_20150317_000138	{@st49}{a END_EDIT_SPRAY}繪圖{/}{/}	{@st49}{a END_EDIT_SPRAY}그리기{/}{/}				
UI_20150317_000139	{@st49}{a SAVE_EDIT_SPRAY}儲存{/}{/}	{@st49}{a SAVE_EDIT_SPRAY}저장{/}{/}				
UI_20150317_000140	{@st49}{a LOAD_EDIT_SPRAY}輸入{/}{/}	{@st49}{a LOAD_EDIT_SPRAY}불러오기{/}{/}				
UI_20150317_000141	{@st49}關閉{/}	{@st49}닫기{/}				
UI_20150317_000142	{@st43}領養寵物	{@st43}컴패니언 분양				
UI_20150317_000143	{@st59}請輸入要領養的寵物名字。{/}	{@st59}분양 받을 컴패니언의 이름을 입력하세요{/}				
UI_20150317_000144	{@st41b}名字{/}	{@st41b}이름{/}				
UI_20150317_000145	{@st41b}價格     %s{/}	{@st41b}가격     %s{/}				
UI_20150317_000146	{@st59}關閉寵物領養視窗。{/}	{@st59}컴패니엄 분양 창을 닫습니다{/}				
UI_20150317_000147	{@st41b}領養	{@st41b}분양				
UI_20150317_000148	{@st59}決定要領養的寵物。{/}	{@st59}분양 받을 컴패니언을 결정합니다{/}				
UI_20150317_000149	{@st43}寵物商店	{@st43}컴패니언 샵				
UI_20150317_000150	{@st59}關閉寵物商店。{/}	{@st59}컴패니언 상점을 닫습니다{/}				
UI_20150317_000151	{@st43}其他角色情報{/} {@st42}	{@st43}다른 캐릭터 정보{/} {@st42}				
UI_20150317_000152	{@st59}關閉角色情報。{/}	{@st59}캐릭터 정보를 닫습니다{/}				
UI_20150317_000153	{@st41b}情報	{@st41b}정보				
UI_20150317_000154	{@st41b}記錄	{@st41b}기록				
UI_20150317_000155	隊伍名稱	팀이륨				
UI_20150317_000156	角色名稱	캐릭이륨				
UI_20150317_000157	{#ffff00}%s{/}名次 %s {#ffff00}%s{/}等級	{#ffff00}%s{/}랭크 %s {#ffff00}%s{/}레벨				
UI_20150317_000158	젼샤	젼샤				
UI_20150317_000159	冒險指數 {#ffff00}%s{/} ({#ffff00}%s{/}名/%s)	모험지수 {#ffff00}%s{/} ({#ffff00}%s{/}위/%s)				
UI_20150317_000160	冒險指數 {#ffff00}%s{/} ({#ffff00}Unranked{/})	모험지수 {#ffff00}%s{/} ({#ffff00}Unranked{/})				
UI_20150317_000161	成就達成 {#ffff00}%s{/}個	업적달성 {#ffff00}%s{/}개				
UI_20150317_000162	設定	설정				
UI_20150317_000163	當清除並確認分頁標題時，分頁會被刪除。	탭 제목을 지우고 확인하면 탭이 삭제됩니다				
UI_20150317_000164	{@st49}全體{/}	{@st49}전체{/}				
UI_20150317_000165	{@st49}系統{/}	{@st49}시스템{/}				
UI_20150317_000166	{@st49}對話{/}	{@st49}대화{/}				
UI_20150317_000167	{@st49}戰鬥{/}	{@st49}전투{/}				
UI_20150317_000168	{@st49}道具{/}	{@st49}아이템{/}				
UI_20150317_000169	{@st43}製作團隊{/}	{@st43}크레딧{/}				
UI_20150317_000170	{@st43}固定目標設定中{/}	{@st43}타겟 고정 설정 중{/}				
UI_20150317_000171	NPC名稱	엔피씨이름				
UI_20150317_000172	比較	비교				
UI_20150317_000173	插圖	일러스트				
UI_20150317_000174	選擇對話	대화 선택				
UI_20150317_000175	Text Help	텍스트 헬프				
UI_20150317_000176	{@st41}道具製造{/}	{@st41}아이템 제조{/}				
UI_20150317_000177	{@st45tw2}道具製作中…	{@st45tw2}아이템 제작 중...				
UI_20150317_000178	%r 秒	%r 초				
UI_20150317_000179	{@st41}取消{/}	{@st41}취소{/}				
UI_20150317_000180	{@st45tw2}數量 {/}	{@st45tw2}수량 {/}				
UI_20150317_000181	{@st45tw2}您要製作道具嗎？	{@st45tw2}아이템을 만드시겠습니까?				
UI_20150317_000182	{@st41}決定{/}	{@st41}결정{/}				
UI_20150317_000183	任務情報	퀘스트 정보				
UI_20150317_000184	{@st59}取消交易。{/}	{@st59}거래를취소합니다{/}				
UI_20150317_000185	{@st43}個人交易{/}	{@st43}개인 거래{/}				
UI_20150317_000186	我的交易目錄	내 거래 목록				
UI_20150317_000187	銀幣：%s	실버 : %s				
UI_20150317_000188	輸入	입력				
UI_20150317_000189	{@st41}接受	{@st41}수락				
UI_20150317_000190	{@st41}最終確認	{@st41}최종확인				
UI_20150317_000191	對方(%s) 交易目錄	상대방(%s) 거래 목록				
UI_20150317_000192	對方名稱	상대방이름				
UI_20150317_000193	{s18}{ol}{gr gradation1}野外活動{/}	{s18}{ol}{gr gradation1}필드 이벤트{/}				
UI_20150317_000194	{s20}{ol}擊退布貝族！您要參加嗎？	{s20}{ol}부베족을 물리쳐라! 참가하시겠습니까?				
UI_20150317_000195	{s20}{ol}%s 您要參加嗎？	{s20}{ol}%s 참가하시겠습니까?				
UI_20150317_000196	{s20}{ol}參加人數：(1/5)	{s20}{ol}참가 인원 : (1/5)				
